FileName,BlockIndex,BottomIndent,LeftIndent,RightIndent,TopIndent,PixelsPerSymbol,Width,Height,WidthToHeightRatio,WordCount,SymbolCount,SameyCount,BottomLineDistance,TopLineDistance,Label
image-012,2,667,36,33,479,12.61396993810787,731,83,8.80722891566265,17,147,0,750,479,Paragraph
image-012,3,516,31,42,573,12.803976396781929,727,140,5.192857142857143,40,283,0,656,573,Paragraph
image-012,4,486,34,692,728,12.333333333333334,74,15,4.933333333333334,1,6,0,501,728,Paragraph
image-012,5,440,575,77,769,13.454545454545455,148,20,7.4,2,11,0,460,769,Paragraph
image-012,6,408,103,606,807,10.11111111111111,91,14,6.5,1,9,0,422,807,Paragraph
image-012,7,382,61,547,828,10.666666666666666,192,19,10.105263157894736,4,18,0,401,828,Paragraph
image-012,8,30,28,41,1103,10.552354337537114,731,96,7.614583333333333,28,220,0,126,1103,Comment
image-013,0,824,161,176,383,15.433333333333334,463,22,21.045454545454547,5,30,0,775,383,Title
image-013,1,771,313,314,438,13.307692307692308,173,20,8.65,2,13,0,720,438,Paragraph
image-013,2,609,31,40,477,12.393650025935427,729,143,5.0979020979020975,39,274,0,681,477,Paragraph
image-013,3,560,578,80,648,12.909090909090908,142,21,6.761904761904762,2,11,0,510,648,Paragraph
image-013,4,532,103,602,681,10.555555555555555,95,16,5.9375,1,9,0,477,681,Paragraph
image-013,5,507,60,534,703,10.3,206,19,10.842105263157896,4,20,0,455,703,Paragraph
image-013,6,34,32,44,1124,10.791997354497354,724,71,10.19718309859155,23,173,0,34,1124,Comment
image-014,0,842,167,194,366,13.71875,439,21,20.904761904761905,6,32,0,709,366,Title
image-014,1,756,32,42,421,12.366071428571429,726,52,13.961538461538462,22,113,0,654,421,Paragraph
image-014,2,605,36,37,483,12.308750533305123,727,141,5.156028368794326,43,295,0,592,483,Paragraph
image-014,3,575,39,688,639,9.125,73,15,4.866666666666666,1,8,0,436,639,Paragraph
image-014,4,422,36,32,664,12.185817656839673,732,143,5.118881118881119,46,298,0,411,664,Paragraph
image-014,5,393,36,463,821,11.148148148148149,301,15,20.066666666666666,4,27,0,254,821,Paragraph
image-014,6,301,37,32,848,12.723529769506783,731,80,9.1375,22,170,0,227,848,Paragraph
image-014,7,270,41,648,944,11.1,111,15,7.4,2,10,0,131,944,Paragraph
image-014,8,42,40,32,1091,10.366912366912366,728,96,7.583333333333333,38,241,0,-16,1091,Comment
image-015,0,841,265,280,368,14.166666666666666,255,20,12.75,3,18,0,792,368,Title
image-015,1,815,184,195,393,15.592592592592593,421,21,20.047619047619047,3,27,0,767,393,Title
image-015,2,788,306,334,420,16,160,21,7.619047619047619,1,10,0,740,420,Title
image-015,3,705,38,37,471,12.775989641139475,725,53,13.679245283018869,12,105,0,689,471,Paragraph
image-015,4,612,30,27,536,12.689716619677583,743,81,9.17283950617284,28,173,0,624,536,Paragraph
image-015,5,276,34,27,627,12.559232599323538,739,326,2.266871165644172,92,626,0,533,627,Paragraph
image-015,6,185,36,33,961,12.511150734511391,731,83,8.80722891566265,25,174,0,199,961,Paragraph
image-015,7,156,38,682,1058,11.428571428571429,80,15,5.333333333333333,1,7,0,102,1058,Paragraph
image-015,8,92,39,25,1084,12.315113500597372,736,53,13.88679245283019,20,117,0,76,1084,Paragraph
image-015,9,31,94,101,1176,10.254237288135593,605,22,27.5,12,59,0,-16,1176,Comment
image-016,0,1194,272,264,17,9.777777777777779,264,18,14.666666666666666,3,27,0,1212,-25,Garbage
image-016,1,1194,744,30,17,13,26,18,1.4444444444444444,1,2,0,1212,-25,Garbage
image-016,2,917,44,27,83,12.563311700379609,729,229,3.183406113537118,67,467,0,1146,41,Paragraph
image-016,3,886,44,453,327,11.653846153846153,303,16,18.9375,3,26,0,902,285,Paragraph
image-016,4,641,38,30,353,12.55107446228011,732,235,3.1148936170212767,71,466,0,876,311,Paragraph
image-016,5,94,35,32,601,12.1961288572378,733,534,1.3726591760299625,162,1077,0,628,559,Paragraph
image-016,6,63,40,34,1144,13.2,726,22,33,7,55,0,85,1102,Paragraph
image-016,7,14,67,420,1196,9.484848484848484,313,19,16.473684210526315,8,33,0,33,1154,Garbage
image-017,0,1159,29,743,51,14,28,19,1.4736842105263157,1,2,0,1178,-26,Garbage
image-017,1,1159,269,270,51,10.038461538461538,261,19,13.736842105263158,2,26,0,1178,-26,Garbage
image-017,2,972,38,37,114,12.237208302628348,725,143,5.06993006993007,36,261,0,1115,37,Paragraph
image-017,3,728,37,35,266,12.829538455085803,728,235,3.097872340425532,58,426,0,963,189,Paragraph
image-017,4,637,38,34,512,12.820007280726216,728,80,9.1,21,169,0,717,435,Paragraph
image-017,5,606,38,665,606,12.125,97,17,5.705882352941177,1,8,0,623,529,Paragraph
image-017,6,545,37,34,634,12.36083916083916,729,50,14.58,11,108,0,595,557,Paragraph
image-018,0,277,331,382,891,43.5,87,61,1.4262295081967213,1,2,0,194,802,Image
image-018,1,93,205,207,1117,10.486486486486486,388,19,20.42105263157895,8,37,0,-32,1028,Image
image-019,0,784,105,118,346,14.903574757023033,577,99,5.828282828282828,17,126,0,784,346,Title
image-019,1,310,35,34,473,12.456314255599274,731,446,1.6390134529147982,118,891,0,657,473,Paragraph
image-019,2,280,39,191,932,11.875,570,17,33.529411764705884,5,48,0,198,932,Paragraph
image-019,3,62,76,713,1155,11,11,12,0.9166666666666666,1,1,0,-25,1155,Garbage
image-019,4,55,91,117,1153,10.385964912280702,592,21,28.19047619047619,12,57,0,-23,1153,Comment
image-019,5,22,63,712,1188,12.5,25,19,1.3157894736842106,1,2,0,-58,1188,Garbage
image-020,0,856,134,141,325,13.981481481481481,525,48,10.9375,11,63,0,677,325,Title
image-020,1,595,36,35,400,12.196153659349214,729,234,3.1153846153846154,80,470,0,602,400,Paragraph
image-020,2,474,36,35,644,12.330743879472692,729,111,6.5675675675675675,40,234,0,358,644,Paragraph
image-020,3,444,38,416,769,11.931034482758621,346,16,21.625,4,29,0,233,769,Paragraph
image-020,4,57,32,33,1024,10.65347794867457,735,148,4.966216216216216,59,385,0,-22,1024,Comment
image-021,0,868,87,100,340,14.951219512195122,613,21,29.19047619047619,5,41,0,889,340,Title
image-021,1,728,36,34,388,12.63687229131336,730,113,6.460176991150442,34,230,0,841,388,Paragraph
image-021,2,697,36,656,516,12,108,16,6.75,2,9,0,713,516,Paragraph
image-021,3,637,37,32,543,12.410714285714285,731,49,14.918367346938776,19,115,0,686,543,Paragraph
image-021,4,605,42,681,607,11,77,17,4.529411764705882,1,7,0,622,607,Paragraph
image-021,5,577,414,144,632,12.1,242,20,12.1,3,20,0,597,632,Paragraph
image-021,6,548,494,79,661,11.947368421052632,227,20,11.35,3,19,0,568,661,Paragraph
image-021,7,519,93,540,691,10.4375,167,19,8.789473684210526,4,16,0,538,691,Paragraph
image-021,8,494,133,587,719,11.428571428571429,80,16,5,1,7,0,510,719,Paragraph
image-021,9,33,93,203,1176,11.2,504,20,25.2,9,45,0,53,1176,Comment
image-022,0,852,246,245,354,15.45,309,23,13.434782608695652,3,20,0,875,354,Title
image-022,1,774,35,41,401,12.377777777777778,724,54,13.407407407407407,13,75,0,828,401,Paragraph
image-022,2,621,36,39,466,12.2604840926992,725,142,5.105633802816901,36,286,0,763,466,Paragraph
image-022,3,438,34,37,618,12.807702349507672,729,173,4.213872832369942,55,342,0,611,618,Paragraph
image-022,4,408,37,617,805,11.23076923076923,146,16,9.125,2,13,0,424,805,Paragraph
image-022,5,347,37,35,831,12.827213114754098,728,51,14.27450980392157,15,112,0,398,831,Paragraph
image-022,6,317,36,614,897,12.5,150,15,10,2,12,0,332,897,Paragraph
image-022,7,224,35,40,924,12.27056588316295,725,81,8.950617283950617,31,175,0,305,924,Paragraph
image-022,8,195,37,460,1019,12.12,303,15,20.2,4,25,0,210,1019,Paragraph
image-022,9,133,32,39,1046,11.954310344827586,729,50,14.58,15,119,0,183,1046,Paragraph
image-022,10,45,32,39,1137,11.529054916985952,729,47,15.51063829787234,15,113,0,92,1137,Comment
image-023,0,1165,266,270,45,10.153846153846153,264,19,13.894736842105264,2,26,0,1184,-26,Garbage
image-023,1,1166,742,35,44,11.5,23,19,1.2105263157894737,1,2,0,1185,-27,Garbage
image-023,2,1069,39,32,109,12.540893015030946,729,51,14.294117647058824,13,98,0,1120,38,Paragraph
image-023,3,978,39,34,169,12.164355418592706,727,82,8.865853658536585,26,149,0,1060,98,Paragraph
image-023,4,856,35,37,262,12.31937595109022,728,111,6.558558558558558,31,202,0,967,191,Paragraph
image-023,5,734,32,33,383,12.294009471021646,735,112,6.5625,44,237,0,846,312,Paragraph
image-023,6,704,38,347,509,12.205882352941176,415,16,25.9375,5,34,0,720,438,Paragraph
image-023,7,582,37,33,537,12.257048872180452,730,110,6.636363636363637,44,236,0,692,466,Paragraph
image-023,8,552,38,556,662,12.117647058823529,206,15,13.733333333333333,3,17,0,567,591,Paragraph
image-023,9,459,36,38,687,12.354264449001292,726,83,8.74698795180723,24,149,0,542,616,Paragraph
image-023,10,337,36,35,780,12.952450154410064,729,112,6.508928571428571,39,224,0,449,709,Paragraph
image-023,11,308,40,610,906,12.5,150,15,10,2,12,0,323,835,Paragraph
image-023,12,258,572,78,949,12.5,150,22,6.818181818181818,2,12,0,280,878,Paragraph
image-024,0,657,83,130,335,33.713091646915174,587,237,2.476793248945148,11,56,0,894,335,Title
image-025,0,871,71,59,336,13.673469387755102,670,22,30.454545454545453,9,49,0,818,336,Title
image-025,1,756,39,28,390,12.892924976258309,733,83,8.831325301204819,22,162,0,764,390,Paragraph
image-025,2,298,38,30,484,12.235470398370499,732,447,1.6375838926174497,131,902,0,670,484,Paragraph
image-025,3,267,39,335,945,11.833333333333334,426,17,25.058823529411764,5,36,0,209,945,Paragraph
image-025,4,34,80,73,1174,9.953846153846154,647,21,30.80952380952381,11,65,0,-20,1174,Comment
image-026,0,865,207,210,344,15.958333333333334,383,20,19.15,2,24,0,768,344,Title
image-026,1,814,98,99,370,15.618421052631579,603,45,13.4,7,58,0,742,370,Title
image-026,2,740,100,95,442,10.339285714285715,605,47,12.872340425531915,8,73,0,670,442,Paragraph
image-026,3,418,37,30,517,12.126531639232168,733,294,2.493197278911565,73,558,0,595,517,Paragraph
image-026,4,264,36,28,823,12.690422608244749,736,142,5.183098591549296,39,288,0,289,823,Paragraph
image-026,5,142,37,33,976,12.649170451166437,730,111,6.576576576576577,28,230,0,136,976,Paragraph
image-026,6,35,40,36,1122,10.281849551414767,724,72,10.055555555555555,24,152,0,-10,1122,Comment
image-027,0,1172,77,33,39,10.454545454545455,690,18,38.333333333333336,8,66,0,1190,-25,Garbage
image-027,1,1016,43,26,103,12.66079260651629,731,110,6.6454545454545455,25,214,0,1126,39,Paragraph
image-027,2,925,44,32,223,12.177100706450256,724,81,8.938271604938272,26,177,0,1006,159,Paragraph
image-027,3,895,46,435,318,12.76,319,16,19.9375,2,25,0,911,254,Paragraph
image-027,4,497,36,31,345,12.612558532345407,733,387,1.8940568475452197,95,748,0,884,281,Paragraph
image-027,5,314,30,34,743,11.731734288465725,736,172,4.27906976744186,59,371,0,486,679,Paragraph
image-027,6,130,29,38,926,12.05506193156767,733,173,4.236994219653179,49,337,0,303,862,Paragraph
image-027,7,39,37,41,1109,12.575063442304822,722,81,8.91358024691358,23,171,0,120,1045,Paragraph
image-028,0,1178,33,742,34,12.5,25,17,1.4705882352941178,1,2,0,813,-26,Garbage
image-028,1,1176,117,122,37,10.584905660377359,561,16,35.0625,7,53,0,810,-23,Garbage
image-028,2,1081,38,33,96,12.382894736842106,729,52,14.01923076923077,17,118,0,751,36,Paragraph
image-028,3,226,36,31,162,12.582011761506323,733,841,0.8715814506539834,212,1628,0,685,102,Paragraph
image-028,4,134,40,31,1014,12.883008658008658,729,81,9,20,168,0,-167,954,Paragraph
image-028,5,104,36,567,1108,13.133333333333333,197,17,11.588235294117647,2,15,0,-261,1048,Paragraph
image-028,6,43,37,35,1135,13.190909090909091,728,51,14.27450980392157,14,108,0,-288,1075,Paragraph
image-029,0,1172,68,39,41,10.5,693,16,43.3125,8,66,0,1188,-23,Garbage
image-029,1,986,38,36,102,12.230813086192981,726,141,5.148936170212766,38,296,0,1127,38,Paragraph
image-029,2,529,31,35,253,12.309322835522922,734,447,1.6420581655480984,129,892,0,976,189,Paragraph
image-029,3,499,35,111,713,11.473684210526315,654,17,38.470588235294116,7,57,0,516,649,Paragraph
image-029,4,102,29,39,739,12.534789583109688,732,388,1.8865979381443299,99,717,0,490,675,Paragraph
image-029,5,42,36,41,1137,12.456937799043061,723,50,14.46,13,75,0,92,1073,Paragraph
image-030,0,1178,31,744,33,12.5,25,18,1.3888888888888888,1,2,0,1196,-24,Garbage
image-030,1,1179,115,127,34,10.528301886792454,558,16,34.875,7,53,0,1195,-23,Garbage
image-030,2,1023,36,36,92,11.985998236385822,728,114,6.385964912280702,32,208,0,1137,35,Paragraph
image-030,3,940,81,671,274,9.6,48,15,3.2,1,5,0,955,217,Image
image-030,4,930,210,528,258,8.845238095238095,62,41,1.5121951219512195,2,14,0,971,201,Image
image-030,5,935,318,410,265,8.8125,72,29,2.4827586206896552,2,17,0,964,208,Image
image-030,6,941,453,300,274,9.4,47,14,3.357142857142857,1,5,0,955,217,Image
image-030,7,930,573,163,259,8.988095238095237,64,40,1.6,2,14,0,970,202,Image
image-030,8,934,679,50,264,8.625,71,31,2.2903225806451615,2,17,0,965,207,Image
image-030,9,875,42,680,340,7.8,78,14,5.571428571428571,4,10,0,889,283,Image
image-030,10,699,39,680,375,7.75,81,155,0.5225806451612903,32,87,0,854,318,Image
image-030,11,841,209,527,341,9.515873015873016,64,47,1.3617021276595744,3,18,0,888,284,Image
image-030,12,818,207,529,396,9.142857142857142,64,15,4.266666666666667,2,7,0,833,339,Image
image-030,13,788,226,530,426,11,44,15,2.933333333333333,1,4,0,803,369,Image
image-030,14,760,228,542,455,10,30,14,2.142857142857143,1,3,0,774,398,Image
image-030,15,712,221,515,502,9.142857142857142,64,15,4.266666666666667,2,7,0,727,445,Image
image-030,16,699,343,440,516,8.5,17,14,1.2142857142857142,1,2,0,713,459,Image
image-030,17,734,415,260,456,7.8,125,39,3.2051282051282053,10,27,0,773,399,Image
image-030,18,875,515,148,341,9.133333333333333,137,13,10.538461538461538,2,15,0,888,284,Image
image-030,19,840,416,172,371,8.40625,212,18,11.777777777777779,7,22,0,858,314,Image
image-030,20,793,518,146,423,9.066666666666666,136,13,10.461538461538462,2,15,0,806,366,Image
image-030,21,746,593,164,469,10.75,43,14,3.0714285714285716,1,4,0,760,412,Image
image-030,22,841,703,69,370,9.333333333333334,28,18,1.5555555555555556,1,3,0,859,313,Image
image-030,23,757,711,72,456,8.5,17,16,1.0625,1,2,0,773,399,Image
image-030,24,734,712,68,479,10,20,16,1.25,1,2,0,750,422,Image
image-030,25,682,512,148,534,9.333333333333334,140,13,10.76923076923077,2,15,0,695,477,Image
image-030,26,652,147,513,562,9.333333333333334,140,15,9.333333333333334,2,15,0,667,505,Image
image-030,27,649,415,259,564,7.875,126,16,7.875,6,16,0,665,507,Image
image-030,28,650,582,177,567,8.2,41,12,3.4166666666666665,1,5,0,662,510,Image
image-030,29,649,710,70,562,10,20,18,1.1111111111111112,1,2,0,667,505,Image
image-030,30,618,45,632,597,7.6875,123,14,8.785714285714286,6,16,0,632,540,Image
image-030,31,619,219,534,598,9.4,47,12,3.9166666666666665,1,5,0,631,541,Image
image-030,32,618,336,438,597,8.666666666666666,26,14,1.8571428571428572,1,3,0,632,540,Image
image-030,33,601,206,525,615,8.625,69,13,5.3076923076923075,1,8,0,614,558,Image
image-030,34,601,515,150,615,9,135,13,10.384615384615385,2,15,0,614,558,Image
image-030,35,522,44,631,633,7.578125,125,74,1.6891891891891893,18,49,0,596,576,Image
image-030,36,502,45,680,713,7.5,75,14,5.357142857142857,4,10,0,516,656,Image
image-030,37,583,228,542,633,10,30,13,2.3076923076923075,1,3,0,596,576,Image
image-030,38,531,221,515,684,9.142857142857142,64,14,4.571428571428571,2,7,0,545,627,Image
image-030,39,501,343,438,633,9.1,19,95,0.2,5,14,0,596,576,Image
image-030,40,531,414,259,662,8.01875,127,36,3.5277777777777777,10,27,0,567,605,Image
image-030,41,492,416,303,724,8.1,81,13,6.230769230769231,4,10,0,505,667,Image
image-030,42,532,582,175,663,10.375,43,34,1.2647058823529411,2,8,0,566,606,Image
image-030,43,490,585,172,724,10.75,43,15,2.8666666666666667,1,4,0,505,667,Image
image-030,44,491,680,50,665,9.15625,70,73,0.958904109589041,5,23,0,564,608,Image
image-030,45,453,72,440,760,9,288,16,18,4,32,0,469,703,Image
image-030,46,440,132,505,777,8.578947368421053,163,12,13.583333333333334,3,19,0,452,720,Image
image-030,47,430,510,148,786,9.466666666666667,142,13,10.923076923076923,2,15,0,443,729,Image
image-030,48,405,44,631,810,7.8125,125,14,8.928571428571429,6,16,0,419,753,Image
image-030,49,390,218,533,811,8.283333333333333,49,28,1.75,2,12,0,418,754,Image
image-030,50,405,333,437,810,10,30,14,2.142857142857143,1,3,0,419,753,Image
image-030,51,387,415,262,825,7.6875,123,17,7.235294117647059,6,16,0,404,768,Image
image-030,52,387,519,261,827,10,20,15,1.3333333333333333,1,2,0,402,770,Image
image-030,53,390,581,176,825,8.6,43,14,3.0714285714285716,1,5,0,404,768,Image
image-030,54,389,695,76,821,14.5,29,19,1.5263157894736843,1,2,0,408,764,Image
image-030,55,364,44,681,851,7.5,75,14,5.357142857142857,4,10,0,378,794,Image
image-030,56,324,45,680,892,7.5,75,13,5.769230769230769,4,10,0,337,835,Image
image-030,57,299,42,680,916,7.8,78,14,5.571428571428571,4,10,0,313,859,Image
image-030,58,349,211,520,850,9.0125,69,30,2.3,2,14,0,379,793,Image
image-030,59,308,232,522,906,11.5,46,15,3.066666666666667,1,4,0,323,849,Image
image-030,60,364,342,440,850,9,18,15,1.2,1,2,0,379,793,Image
image-030,61,323,343,440,891,8.5,17,15,1.1333333333333333,1,2,0,338,834,Image
image-030,62,281,317,304,917,8.631578947368421,179,31,5.774193548387097,6,28,0,312,860,Image
image-030,63,338,512,151,878,9.133333333333333,137,13,10.538461538461538,2,15,0,351,821,Image
image-030,64,299,582,173,917,9,45,13,3.4615384615384617,1,5,0,312,860,Image
image-030,65,283,571,162,934,8.375,67,12,5.583333333333333,1,8,0,295,877,Image
image-030,66,282,678,55,918,8.1875,67,29,2.310344827586207,3,17,0,311,861,Image
image-030,67,258,42,680,958,7.8,78,13,6,4,10,0,271,901,Image
image-030,68,259,240,527,954,10.5,33,16,2.0625,2,7,0,275,897,Image
image-030,69,258,342,439,958,9.5,19,13,1.4615384615384615,1,2,0,271,901,Image
image-030,70,211,86,455,1003,8.931034482758621,259,15,17.266666666666666,4,29,0,226,946,Image
image-030,71,226,449,87,989,8.8,264,14,18.857142857142858,3,30,0,240,932,Image
image-030,72,174,39,440,1037,9.095238095238095,321,18,17.833333333333332,9,32,0,192,980,Image
image-030,73,187,415,259,1028,7.875,126,14,9,6,16,0,201,971,Image
image-030,74,188,574,173,1028,8.833333333333334,53,13,4.076923076923077,1,6,0,201,971,Image
image-030,75,171,563,162,1046,9.375,75,12,6.25,1,8,0,183,989,Image
image-030,76,170,677,49,1028,8.5,74,31,2.3870967741935485,3,17,0,201,971,Image
image-030,77,136,146,518,1081,9.066666666666666,136,12,11.333333333333334,2,15,0,148,1024,Image
image-030,78,45,39,679,1110,7.949999999999999,82,74,1.1081081081081081,16,43,0,119,1053,Image
image-030,79,95,232,523,1119,11.25,45,15,3,1,4,0,110,1062,Image
image-030,80,55,240,530,1160,10,30,14,2.142857142857143,1,3,0,69,1103,Image
image-030,81,46,339,437,1110,9.875,24,73,0.3287671232876712,4,11,0,119,1053,Image
image-030,82,75,415,304,1140,8.1,81,14,5.785714285714286,4,10,0,89,1083,Image
image-030,83,115,509,149,1101,9.466666666666667,142,13,10.923076923076923,2,15,0,128,1044,Image
image-030,84,75,583,175,1141,8.4,42,13,3.230769230769231,1,5,0,88,1084,Image
image-030,85,58,677,50,1139,8.5625,73,32,2.28125,3,17,0,90,1082,Image
image-031,0,151,289,288,1058,10.619047619047619,223,20,11.15,4,21,0,-32,907,Image
image-032,0,1197,71,39,12,10.454545454545455,690,20,34.5,8,66,0,1217,-25,Garbage
image-032,1,1103,39,33,73,11.566810344827587,728,53,13.735849056603774,21,123,0,1156,36,Paragraph
image-032,2,995,75,681,222,8.8,44,12,3.6666666666666665,1,5,0,1007,185,Image
image-032,3,1009,200,534,206,9.785714285714285,66,14,4.714285714285714,2,10,0,1023,169,Image
image-032,4,979,207,540,238,8.833333333333334,53,12,4.416666666666667,1,6,0,991,201,Image
image-032,5,980,326,401,205,8.517857142857144,73,44,1.6590909090909092,4,25,0,1024,168,Image
image-032,6,996,449,303,219,9.6,48,14,3.4285714285714284,1,5,0,1010,182,Image
image-032,7,1011,575,163,206,8.857142857142858,62,12,5.166666666666667,1,7,0,1023,169,Image
image-032,8,980,579,169,237,8.666666666666666,52,12,4.333333333333333,1,6,0,992,200,Image
image-032,9,980,680,47,205,8.44047619047619,73,44,1.6590909090909092,4,25,0,1024,168,Image
image-032,10,889,58,667,326,7.5,75,14,5.357142857142857,4,10,0,903,289,Image
image-032,11,864,58,667,352,7.5,75,13,5.769230769230769,4,10,0,877,315,Image
image-032,12,839,58,670,377,7.2,72,13,5.538461538461538,4,10,0,852,340,Image
image-032,13,813,55,670,402,7.5,75,14,5.357142857142857,4,10,0,827,365,Image
image-032,14,788,56,669,427,7.5,75,14,5.357142857142857,4,10,0,802,390,Image
image-032,15,834,204,505,383,9.1,91,12,7.583333333333333,1,10,0,846,346,Image
image-032,16,889,350,431,326,9.5,19,14,1.3571428571428572,1,2,0,903,289,Image
